customer_id,employee_id,freight,order_date,order_id,required_date,ship_address,ship_city,ship_country,ship_name,ship_postal_code,ship_region,ship_via,shipped_date
MORGK,2,125.77,1996-08-09T00:00:00+00:00,10277,1996-09-06T00:00:00+00:00,Heerstr. 22,Leipzig,Germany,Morgenstern Gesundkost,04179,,3,1996-08-13T00:00:00+00:00
BERGS,8,92.69,1996-08-12T00:00:00+00:00,10278,1996-09-09T00:00:00+00:00,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,,2,1996-08-16T00:00:00+00:00
LEHMS,8,25.83,1996-08-13T00:00:00+00:00,10279,1996-09-10T00:00:00+00:00,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,,2,1996-08-16T00:00:00+00:00
BERGS,2,8.98,1996-08-14T00:00:00+00:00,10280,1996-09-11T00:00:00+00:00,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,,1,1996-09-12T00:00:00+00:00
ROMEY,4,2.94,1996-08-14T00:00:00+00:00,10281,1996-08-28T00:00:00+00:00,'Gran Vía, 1',Madrid,Spain,Romero y tomillo,28001,,1,1996-08-21T00:00:00+00:00
ROMEY,4,12.69,1996-08-15T00:00:00+00:00,10282,1996-09-12T00:00:00+00:00,'Gran Vía, 1',Madrid,Spain,Romero y tomillo,28001,,1,1996-08-21T00:00:00+00:00
LILAS,3,84.81,1996-08-16T00:00:00+00:00,10283,1996-09-13T00:00:00+00:00,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,Lara,3,1996-08-23T00:00:00+00:00
LEHMS,4,76.56,1996-08-19T00:00:00+00:00,10284,1996-09-16T00:00:00+00:00,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,,1,1996-08-27T00:00:00+00:00
QUICK,1,76.83,1996-08-20T00:00:00+00:00,10285,1996-09-17T00:00:00+00:00,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,,2,1996-08-26T00:00:00+00:00
QUICK,8,229.24,1996-08-21T00:00:00+00:00,10286,1996-09-18T00:00:00+00:00,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,,3,1996-08-30T00:00:00+00:00
RICAR,8,12.76,1996-08-22T00:00:00+00:00,10287,1996-09-19T00:00:00+00:00,'Av. Copacabana, 267',Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,RJ,3,1996-08-28T00:00:00+00:00
REGGC,4,7.45,1996-08-23T00:00:00+00:00,10288,1996-09-20T00:00:00+00:00,Strada Provinciale 124,Reggio Emilia,Italy,Reggiani Caseifici,42100,,1,1996-09-03T00:00:00+00:00
BSBEV,7,22.77,1996-08-26T00:00:00+00:00,10289,1996-09-23T00:00:00+00:00,Fauntleroy Circus,London,UK,'B''s Beverages',EC2 5NT,,3,1996-08-28T00:00:00+00:00
COMMI,8,79.7,1996-08-27T00:00:00+00:00,10290,1996-09-24T00:00:00+00:00,'Av. dos Lusíadas, 23',Sao Paulo,Brazil,Comércio Mineiro,05432-043,SP,1,1996-09-03T00:00:00+00:00
QUEDE,6,6.4,1996-08-27T00:00:00+00:00,10291,1996-09-24T00:00:00+00:00,'Rua da Panificadora, 12',Rio de Janeiro,Brazil,Que Delícia,02389-673,RJ,2,1996-09-04T00:00:00+00:00
TRADH,1,1.35,1996-08-28T00:00:00+00:00,10292,1996-09-25T00:00:00+00:00,'Av. Inês de Castro, 414',Sao Paulo,Brazil,Tradiçao Hipermercados,05634-030,SP,2,1996-09-02T00:00:00+00:00
TORTU,1,21.18,1996-08-29T00:00:00+00:00,10293,1996-09-26T00:00:00+00:00,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,,3,1996-09-11T00:00:00+00:00
RATTC,4,147.26,1996-08-30T00:00:00+00:00,10294,1996-09-27T00:00:00+00:00,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,NM,2,1996-09-05T00:00:00+00:00
VINET,2,1.15,1996-09-02T00:00:00+00:00,10295,1996-09-30T00:00:00+00:00,'59 rue de l''Abbaye',Reims,France,Vins et alcools Chevalier,51100,,2,1996-09-10T00:00:00+00:00
LILAS,6,0.12,1996-09-03T00:00:00+00:00,10296,1996-10-01T00:00:00+00:00,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,Lara,1,1996-09-11T00:00:00+00:00
BLONP,5,5.74,1996-09-04T00:00:00+00:00,10297,1996-10-16T00:00:00+00:00,'24, place Kléber',Strasbourg,France,Blondel père et fils,67000,,2,1996-09-10T00:00:00+00:00
HUNGO,6,168.22,1996-09-05T00:00:00+00:00,10298,1996-10-03T00:00:00+00:00,8 Johnstown Road,Cork,Ireland,Hungry Owl All-Night Grocers,,Co. Cork,2,1996-09-11T00:00:00+00:00
RICAR,4,29.76,1996-09-06T00:00:00+00:00,10299,1996-10-04T00:00:00+00:00,'Av. Copacabana, 267',Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,RJ,2,1996-09-13T00:00:00+00:00
MAGAA,2,17.68,1996-09-09T00:00:00+00:00,10300,1996-10-07T00:00:00+00:00,Via Ludovico il Moro 22,Bergamo,Italy,Magazzini Alimentari Riuniti,24100,,2,1996-09-18T00:00:00+00:00
WANDK,8,45.08,1996-09-09T00:00:00+00:00,10301,1996-10-07T00:00:00+00:00,Adenauerallee 900,Stuttgart,Germany,Die Wandernde Kuh,70563,,2,1996-09-17T00:00:00+00:00
SUPRD,4,6.27,1996-09-10T00:00:00+00:00,10302,1996-10-08T00:00:00+00:00,'Boulevard Tirou, 255',Charleroi,Belgium,Suprêmes délices,B-6000,,2,1996-10-09T00:00:00+00:00
GODOS,7,107.83,1996-09-11T00:00:00+00:00,10303,1996-10-09T00:00:00+00:00,'C/ Romero, 33',Sevilla,Spain,Godos Cocina Típica,41101,,2,1996-09-18T00:00:00+00:00
TORTU,1,63.79,1996-09-12T00:00:00+00:00,10304,1996-10-10T00:00:00+00:00,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,,2,1996-09-17T00:00:00+00:00
OLDWO,8,257.62,1996-09-13T00:00:00+00:00,10305,1996-10-11T00:00:00+00:00,2743 Bering St.,Anchorage,USA,Old World Delicatessen,99508,AK,3,1996-10-09T00:00:00+00:00
ROMEY,1,7.56,1996-09-16T00:00:00+00:00,10306,1996-10-14T00:00:00+00:00,'Gran Vía, 1',Madrid,Spain,Romero y tomillo,28001,,3,1996-09-23T00:00:00+00:00
LONEP,2,0.56,1996-09-17T00:00:00+00:00,10307,1996-10-15T00:00:00+00:00,89 Chiaroscuro Rd.,Portland,USA,Lonesome Pine Restaurant,97219,OR,2,1996-09-25T00:00:00+00:00
ANATR,7,1.61,1996-09-18T00:00:00+00:00,10308,1996-10-16T00:00:00+00:00,Avda. de la Constitución 2222,México D.F.,Mexico,Ana Trujillo Emparedados y helados,05021,,3,1996-09-24T00:00:00+00:00
HUNGO,3,47.3,1996-09-19T00:00:00+00:00,10309,1996-10-17T00:00:00+00:00,8 Johnstown Road,Cork,Ireland,Hungry Owl All-Night Grocers,,Co. Cork,1,1996-10-23T00:00:00+00:00
THEBI,8,17.52,1996-09-20T00:00:00+00:00,10310,1996-10-18T00:00:00+00:00,89 Jefferson Way Suite 2,Portland,USA,The Big Cheese,97201,OR,2,1996-09-27T00:00:00+00:00
DUMON,1,24.69,1996-09-20T00:00:00+00:00,10311,1996-10-04T00:00:00+00:00,'67, rue des Cinquante Otages',Nantes,France,Du monde entier,44000,,3,1996-09-26T00:00:00+00:00
WANDK,2,40.26,1996-09-23T00:00:00+00:00,10312,1996-10-21T00:00:00+00:00,Adenauerallee 900,Stuttgart,Germany,Die Wandernde Kuh,70563,,2,1996-10-03T00:00:00+00:00
QUICK,2,1.96,1996-09-24T00:00:00+00:00,10313,1996-10-22T00:00:00+00:00,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,,2,1996-10-04T00:00:00+00:00
RATTC,1,74.16,1996-09-25T00:00:00+00:00,10314,1996-10-23T00:00:00+00:00,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,NM,2,1996-10-04T00:00:00+00:00
ISLAT,4,41.76,1996-09-26T00:00:00+00:00,10315,1996-10-24T00:00:00+00:00,Garden House Crowther Way,Cowes,UK,Island Trading,PO31 7PJ,Isle of Wight,2,1996-10-03T00:00:00+00:00
RATTC,1,150.15,1996-09-27T00:00:00+00:00,10316,1996-10-25T00:00:00+00:00,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,NM,3,1996-10-08T00:00:00+00:00
LONEP,6,12.69,1996-09-30T00:00:00+00:00,10317,1996-10-28T00:00:00+00:00,89 Chiaroscuro Rd.,Portland,USA,Lonesome Pine Restaurant,97219,OR,1,1996-10-10T00:00:00+00:00
ISLAT,8,4.73,1996-10-01T00:00:00+00:00,10318,1996-10-29T00:00:00+00:00,Garden House Crowther Way,Cowes,UK,Island Trading,PO31 7PJ,Isle of Wight,2,1996-10-04T00:00:00+00:00
TORTU,7,64.5,1996-10-02T00:00:00+00:00,10319,1996-10-30T00:00:00+00:00,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,,3,1996-10-11T00:00:00+00:00
WARTH,5,34.57,1996-10-03T00:00:00+00:00,10320,1996-10-17T00:00:00+00:00,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,,3,1996-10-18T00:00:00+00:00
ISLAT,3,3.43,1996-10-03T00:00:00+00:00,10321,1996-10-31T00:00:00+00:00,Garden House Crowther Way,Cowes,UK,Island Trading,PO31 7PJ,Isle of Wight,2,1996-10-11T00:00:00+00:00
PERIC,7,0.4,1996-10-04T00:00:00+00:00,10322,1996-11-01T00:00:00+00:00,Calle Dr. Jorge Cash 321,México D.F.,Mexico,Pericles Comidas clásicas,05033,,3,1996-10-23T00:00:00+00:00
KOENE,4,4.88,1996-10-07T00:00:00+00:00,10323,1996-11-04T00:00:00+00:00,Maubelstr. 90,Brandenburg,Germany,Königlich Essen,14776,,1,1996-10-14T00:00:00+00:00
SAVEA,9,214.27,1996-10-08T00:00:00+00:00,10324,1996-11-05T00:00:00+00:00,187 Suffolk Ln.,Boise,USA,Save-a-lot Markets,83720,ID,1,1996-10-10T00:00:00+00:00
KOENE,1,64.86,1996-10-09T00:00:00+00:00,10325,1996-10-23T00:00:00+00:00,Maubelstr. 90,Brandenburg,Germany,Königlich Essen,14776,,3,1996-10-14T00:00:00+00:00
BOLID,4,77.92,1996-10-10T00:00:00+00:00,10326,1996-11-07T00:00:00+00:00,'C/ Araquil, 67',Madrid,Spain,Bólido Comidas preparadas,28023,,2,1996-10-14T00:00:00+00:00
FOLKO,2,63.36,1996-10-11T00:00:00+00:00,10327,1996-11-08T00:00:00+00:00,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,,1,1996-10-14T00:00:00+00:00
FURIB,4,87.03,1996-10-14T00:00:00+00:00,10328,1996-11-11T00:00:00+00:00,Jardim das rosas n. 32,Lisboa,Portugal,Furia Bacalhau e Frutos do Mar,1675,,3,1996-10-17T00:00:00+00:00
SPLIR,4,191.67,1996-10-15T00:00:00+00:00,10329,1996-11-26T00:00:00+00:00,P.O. Box 555,Lander,USA,Split Rail Beer & Ale,82520,WY,2,1996-10-23T00:00:00+00:00
LILAS,3,12.75,1996-10-16T00:00:00+00:00,10330,1996-11-13T00:00:00+00:00,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,Lara,1,1996-10-28T00:00:00+00:00
BONAP,9,10.19,1996-10-16T00:00:00+00:00,10331,1996-11-27T00:00:00+00:00,'12, rue des Bouchers',Marseille,France,'Bon app''',13008,,1,1996-10-21T00:00:00+00:00
MEREP,3,52.84,1996-10-17T00:00:00+00:00,10332,1996-11-28T00:00:00+00:00,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,Québec,2,1996-10-21T00:00:00+00:00
WARTH,5,0.59,1996-10-18T00:00:00+00:00,10333,1996-11-15T00:00:00+00:00,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,,3,1996-10-25T00:00:00+00:00
VICTE,8,8.56,1996-10-21T00:00:00+00:00,10334,1996-11-18T00:00:00+00:00,'2, rue du Commerce',Lyon,France,Victuailles en stock,69004,,2,1996-10-28T00:00:00+00:00
HUNGO,7,42.11,1996-10-22T00:00:00+00:00,10335,1996-11-19T00:00:00+00:00,8 Johnstown Road,Cork,Ireland,Hungry Owl All-Night Grocers,,Co. Cork,2,1996-10-24T00:00:00+00:00
PRINI,7,15.51,1996-10-23T00:00:00+00:00,10336,1996-11-20T00:00:00+00:00,Estrada da saúde n. 58,Lisboa,Portugal,Princesa Isabel Vinhos,1756,,2,1996-10-25T00:00:00+00:00
FRANK,4,108.26,1996-10-24T00:00:00+00:00,10337,1996-11-21T00:00:00+00:00,Berliner Platz 43,München,Germany,Frankenversand,80805,,3,1996-10-29T00:00:00+00:00
OLDWO,4,84.21,1996-10-25T00:00:00+00:00,10338,1996-11-22T00:00:00+00:00,2743 Bering St.,Anchorage,USA,Old World Delicatessen,99508,AK,3,1996-10-29T00:00:00+00:00
MEREP,2,15.66,1996-10-28T00:00:00+00:00,10339,1996-11-25T00:00:00+00:00,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,Québec,2,1996-11-04T00:00:00+00:00
BONAP,1,166.31,1996-10-29T00:00:00+00:00,10340,1996-11-26T00:00:00+00:00,'12, rue des Bouchers',Marseille,France,'Bon app''',13008,,3,1996-11-08T00:00:00+00:00
SIMOB,7,26.78,1996-10-29T00:00:00+00:00,10341,1996-11-26T00:00:00+00:00,Vinbæltet 34,Kobenhavn,Denmark,Simons bistro,1734,,3,1996-11-05T00:00:00+00:00
FRANK,4,54.83,1996-10-30T00:00:00+00:00,10342,1996-11-13T00:00:00+00:00,Berliner Platz 43,München,Germany,Frankenversand,80805,,2,1996-11-04T00:00:00+00:00
LEHMS,4,110.37,1996-10-31T00:00:00+00:00,10343,1996-11-28T00:00:00+00:00,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,,1,1996-11-06T00:00:00+00:00
WHITC,4,23.29,1996-11-01T00:00:00+00:00,10344,1996-11-29T00:00:00+00:00,1029 - 12th Ave. S.,Seattle,USA,White Clover Markets,98124,WA,2,1996-11-05T00:00:00+00:00
QUICK,2,249.06,1996-11-04T00:00:00+00:00,10345,1996-12-02T00:00:00+00:00,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,,2,1996-11-11T00:00:00+00:00
RATTC,3,142.08,1996-11-05T00:00:00+00:00,10346,1996-12-17T00:00:00+00:00,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,NM,3,1996-11-08T00:00:00+00:00
FAMIA,4,3.1,1996-11-06T00:00:00+00:00,10347,1996-12-04T00:00:00+00:00,'Rua Orós, 92',Sao Paulo,Brazil,Familia Arquibaldo,05442-030,SP,3,1996-11-08T00:00:00+00:00
WANDK,4,0.78,1996-11-07T00:00:00+00:00,10348,1996-12-05T00:00:00+00:00,Adenauerallee 900,Stuttgart,Germany,Die Wandernde Kuh,70563,,2,1996-11-15T00:00:00+00:00
SPLIR,7,8.63,1996-11-08T00:00:00+00:00,10349,1996-12-06T00:00:00+00:00,P.O. Box 555,Lander,USA,Split Rail Beer & Ale,82520,WY,1,1996-11-15T00:00:00+00:00
LAMAI,6,64.19,1996-11-11T00:00:00+00:00,10350,1996-12-09T00:00:00+00:00,1 rue Alsace-Lorraine,Toulouse,France,'La maison d''Asie',31000,,2,1996-12-03T00:00:00+00:00
ERNSH,1,162.33,1996-11-11T00:00:00+00:00,10351,1996-12-09T00:00:00+00:00,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,,1,1996-11-20T00:00:00+00:00
FURIB,3,1.3,1996-11-12T00:00:00+00:00,10352,1996-11-26T00:00:00+00:00,Jardim das rosas n. 32,Lisboa,Portugal,Furia Bacalhau e Frutos do Mar,1675,,3,1996-11-18T00:00:00+00:00
PICCO,7,360.63,1996-11-13T00:00:00+00:00,10353,1996-12-11T00:00:00+00:00,Geislweg 14,Salzburg,Austria,Piccolo und mehr,5020,,3,1996-11-25T00:00:00+00:00
PERIC,8,53.8,1996-11-14T00:00:00+00:00,10354,1996-12-12T00:00:00+00:00,Calle Dr. Jorge Cash 321,México D.F.,Mexico,Pericles Comidas clásicas,05033,,3,1996-11-20T00:00:00+00:00
AROUT,6,41.95,1996-11-15T00:00:00+00:00,10355,1996-12-13T00:00:00+00:00,Brook Farm Stratford St. Mary,Colchester,UK,Around the Horn,CO7 6JX,Essex,1,1996-11-20T00:00:00+00:00
WANDK,6,36.71,1996-11-18T00:00:00+00:00,10356,1996-12-16T00:00:00+00:00,Adenauerallee 900,Stuttgart,Germany,Die Wandernde Kuh,70563,,2,1996-11-27T00:00:00+00:00
LILAS,1,34.88,1996-11-19T00:00:00+00:00,10357,1996-12-17T00:00:00+00:00,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,Lara,3,1996-12-02T00:00:00+00:00
LAMAI,5,19.64,1996-11-20T00:00:00+00:00,10358,1996-12-18T00:00:00+00:00,1 rue Alsace-Lorraine,Toulouse,France,'La maison d''Asie',31000,,1,1996-11-27T00:00:00+00:00
SEVES,5,288.43,1996-11-21T00:00:00+00:00,10359,1996-12-19T00:00:00+00:00,90 Wadhurst Rd.,London,UK,Seven Seas Imports,OX15 4NB,,3,1996-11-26T00:00:00+00:00
BLONP,4,131.7,1996-11-22T00:00:00+00:00,10360,1996-12-20T00:00:00+00:00,'24, place Kléber',Strasbourg,France,Blondel père et fils,67000,,3,1996-12-02T00:00:00+00:00
QUICK,1,183.17,1996-11-22T00:00:00+00:00,10361,1996-12-20T00:00:00+00:00,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,,2,1996-12-03T00:00:00+00:00
BONAP,3,96.04,1996-11-25T00:00:00+00:00,10362,1996-12-23T00:00:00+00:00,'12, rue des Bouchers',Marseille,France,'Bon app''',13008,,1,1996-11-28T00:00:00+00:00
DRACD,4,30.54,1996-11-26T00:00:00+00:00,10363,1996-12-24T00:00:00+00:00,Walserweg 21,Aachen,Germany,Drachenblut Delikatessen,52066,,3,1996-12-04T00:00:00+00:00
EASTC,1,71.97,1996-11-26T00:00:00+00:00,10364,1997-01-07T00:00:00+00:00,35 King George,London,UK,Eastern Connection,WX3 6FW,,1,1996-12-04T00:00:00+00:00
ANTON,3,22.0,1996-11-27T00:00:00+00:00,10365,1996-12-25T00:00:00+00:00,Mataderos  2312,México D.F.,Mexico,Antonio Moreno Taquería,05023,,2,1996-12-02T00:00:00+00:00
GALED,8,10.14,1996-11-28T00:00:00+00:00,10366,1997-01-09T00:00:00+00:00,'Rambla de Cataluña, 23',Barcelona,Spain,Galería del gastronómo,8022,,2,1996-12-30T00:00:00+00:00
VAFFE,7,13.55,1996-11-28T00:00:00+00:00,10367,1996-12-26T00:00:00+00:00,Smagsloget 45,Århus,Denmark,Vaffeljernet,8200,,3,1996-12-02T00:00:00+00:00
ERNSH,2,101.95,1996-11-29T00:00:00+00:00,10368,1996-12-27T00:00:00+00:00,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,,2,1996-12-02T00:00:00+00:00
SPLIR,8,195.68,1996-12-02T00:00:00+00:00,10369,1996-12-30T00:00:00+00:00,P.O. Box 555,Lander,USA,Split Rail Beer & Ale,82520,WY,2,1996-12-09T00:00:00+00:00
CHOPS,6,1.17,1996-12-03T00:00:00+00:00,10370,1996-12-31T00:00:00+00:00,Hauptstr. 31,Bern,Switzerland,Chop-suey Chinese,3012,,2,1996-12-27T00:00:00+00:00
LAMAI,1,0.45,1996-12-03T00:00:00+00:00,10371,1996-12-31T00:00:00+00:00,1 rue Alsace-Lorraine,Toulouse,France,'La maison d''Asie',31000,,1,1996-12-24T00:00:00+00:00
QUEEN,5,890.78,1996-12-04T00:00:00+00:00,10372,1997-01-01T00:00:00+00:00,'Alameda dos Canàrios, 891',Sao Paulo,Brazil,Queen Cozinha,05487-020,SP,2,1996-12-09T00:00:00+00:00
HUNGO,4,124.12,1996-12-05T00:00:00+00:00,10373,1997-01-02T00:00:00+00:00,8 Johnstown Road,Cork,Ireland,Hungry Owl All-Night Grocers,,Co. Cork,3,1996-12-11T00:00:00+00:00
WOLZA,1,3.94,1996-12-05T00:00:00+00:00,10374,1997-01-02T00:00:00+00:00,ul. Filtrowa 68,Warszawa,Poland,Wolski Zajazd,01-012,,3,1996-12-09T00:00:00+00:00
HUNGC,3,20.12,1996-12-06T00:00:00+00:00,10375,1997-01-03T00:00:00+00:00,City Center Plaza 516 Main St.,Elgin,USA,Hungry Coyote Import Store,97827,OR,2,1996-12-09T00:00:00+00:00
MEREP,1,20.39,1996-12-09T00:00:00+00:00,10376,1997-01-06T00:00:00+00:00,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,Québec,2,1996-12-13T00:00:00+00:00
SEVES,1,22.21,1996-12-09T00:00:00+00:00,10377,1997-01-06T00:00:00+00:00,90 Wadhurst Rd.,London,UK,Seven Seas Imports,OX15 4NB,,3,1996-12-13T00:00:00+00:00
FOLKO,5,5.44,1996-12-10T00:00:00+00:00,10378,1997-01-07T00:00:00+00:00,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,,3,1996-12-19T00:00:00+00:00
